annotate,wr_lines,line_list_item_mask,,wh_id,wr_id
<s>*<a0>,['*'],[0],,be0d1de112fb121dd65c019c50e8996b0877130252db5df818cbd2c2,319
<s>to do list:<a0><s>study for Art History 201 Final<a1><s>Finish math home work<a1><s>study for math midterm<a1><s>Do laundry<a1><s>go otoouts dinner with parents<a1><s>PLU volleyball game<a3><s>sign up for winter Quarter cusses<a1><s>make plans for wSu trip<a1><s>join business club<a1><s>apply for major<a1><s>apply for schorships I grants<a1><s>thanks giving Dinner!<a3><s>Buy christmas Decorations<a1><s>clean room<a1><s>organize bookshelf<a1><s>Buy DVD player<a1><s>cash check from Dad<a1>,"['to do list:', 'study for Art History 201 Final', 'Finish math home work', 'study for math midterm', 'Do laundry', 'go otoouts dinner with parents', 'PLU volleyball game', 'sign up for winter Quarter cusses', 'make plans for wSu trip', 'join business club', 'apply for major', 'apply for schorships I grants', 'thanks giving Dinner!', 'Buy christmas Decorations', 'clean room', 'organize bookshelf', 'Buy DVD player', 'cash check from Dad']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,d51f8a696871658b9535b527359dd382d2ac9d5d3f2fd1be3a0ca76b,1
"<s>TO DO:<a0><s>present for mother's day<a1><s>pay credit card bill<a1><s>research for history paper<a1><s>David's cards<a3><s>collect more wireless cards from girls<a1><s>order stationary for house<a1><s>update house address book<a1><s>call Nancy on Sunday night<a1><s>finish/revise 10 lesson plans<a1><s>prepare 1 5-10 min speech on int excursion<a1><s>finish Tom Brown's School Days"" workout<a1><s>have Dana out to house<a1><s>graduation presents for Dana & Steph<a1><s>summer job<a3><s>shop<a3>","['TO DO:', ""present for mother's day"", 'pay credit card bill', 'research for history paper', ""David's cards"", 'collect more wireless cards from girls', 'order stationary for house', 'update house address book', 'call Nancy on Sunday night', 'finish/revise 10 lesson plans', 'prepare 1 5-10 min speech on int excursion', 'finish Tom Brown\'s School Days""', 'workout', 'have Dana out to house', 'graduation presents for Dana & Steph', 'summer job', 'shop']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,ef9983b4e7c227449891d36c75f4650dce0b5423a5ddd1a7a4e2402a,1
"<s>SR Geek<a0><s>goon architect, rolling out to customers, setting up servers, marketing demos<a0><s>scans printed notes into journal<a0><s>scanner at home, total of `` notes<a0><s>New J file per day,<a0><s>Archive each month<a4><s>search to find notes<a4><s>99.5% hw recon<a0><s>Reg: ignore special characters<a4><s>Pickle Streets & Trips maps -annotates in Journal<a0><s>Export to MHT<a4><s>class, forums, meetings - get electronic versions of slides to markup in Journal.<a4><s>uses TOP for email<a0><s>Shawn<a0><s>[pickling, assignent panel Word doe, print to Journal<a4><s>Tablet pripany machine: Almost done w/ Palm Palm Bible, uses Palm Alarms<a0><s>Big travel, airplanes, emit a doc markup<a0><s>poor hw neco, uses se hard Kb<a0><s>Jake-Developer<a0><s>too slow for dev machine<a0><s>hard . rib too small for thick fingers<a0><s>barrel buttons hard to use<a0>","['SR Geek', 'goon architect, rolling out to customers, setting up', 'servers, marketing demos', 'scans printed notes into journal', 'scanner at home, total of `` notes', 'New J file per day, Archive each month', 'search to find notes', '99.5% hw recon', 'Reg: ignore special characters', 'Pickle Streets & Trips maps -annotates in Journal', 'Export to MHT', 'class, forums, meetings - get electronic versions of', 'slides to markup in Journal.', 'uses TOP for email', 'Shawn', '[pickling, assignent panel Word doe, print to', 'Journal', 'Tablet pripany machine: Almost done w/ Palm', 'Palm Bible, uses Palm Alarms', 'Big travel, airplanes, emit a doc markup', 'poor hw neco, uses se hard Kb', 'Jake-Developer', 'too slow for dev machine', 'hard . rib too small for thick fingers', 'barrel buttons hard to use']","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]",,d6c82f23f52082e94efa8fc174878a4304f87cd9d23c2845cd3d8b2f,1
"<s>Fix the Garage Dour<a1><s>Empty Compost Bins<a1><s>spackle Ceiling in Bedrooms<a3><s>call Cable Company<a1><s>Rob Bank of America for 23.5 million<a1><s>create cold fusion<a1><s>Ask out Britney Spears<a1><s>Ask out Alissa Milano<a1><s>Date them both<a1><s>get cavunt two timing<a1><s>film them , fight each other<a1><s>sell the tape to E!<a1><s>Tear through downtown LA in my new Boxster<a1><s>Take out Garbage<a1><s>Water Plants<a1><s>Feed Flarfy<a1><s>Relax<a1><s>Clean poul filters<a1>","['Fix the Garage Dour', 'Empty Compost Bins', 'spackle Ceiling in Bedrooms', 'call Cable Company', 'Rob Bank of America for 23.5 million', 'create cold fusion', 'Ask out Britney Spears', 'Ask out Alissa Milano', 'Date them both', 'get cavunt two timing', 'film them , fight each other', 'sell the tape to E!', 'Tear through downtown LA in my new', 'Boxster', 'Take out Garbage', 'Water Plants', 'Feed Flarfy', 'Relax', 'Clean poul filters']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",,bae3fafccdda06990b295bcdb83b24b99c3cdae5687aa54118a8303c,1
<s>Work Items January 2004<a0><s>4) Look at V2 Labeled Files and give out feedback to Terri<a1><s>spost morten for MT I feedback on testing<a3><s>Label and Fix Failing Test Coses (Amber & Chengyony)<a1><s>XSLT to convert Labeled V 2 files to various Enphe Confiy Labels<a1><s>DB Design & Reporting system Ion track)<a3><s>False positive metric on the base of XML partial Tree Comparison<a3><s>Action Fcript Expansion and separation from Ink parser<a3><s>Expand semantic node counter metric<a1><s>Integrate Action Script with Accuracy metrics - use Reflections it needed<a1><s>Make Accuracy metrics standalone<a1><s>simplify CPML<a1><s>more validation Tools for Labeled Files } toors<a1><s>Look into automated way of fixing Labeled Files<a1><s>triage all old dusty bugs out-triage at the beginning of M8!<a1><s>Test Architecture for Parsing<a1><s>scheduling for M 8<a3><s>Label the rest of the files<a1>,"['Work Items January 2004', '4) Look at V2 Labeled Files and give out feedback to Terri', 'spost morten for MT I feedback on testing', 'Label and Fix Failing Test Coses (Amber & Chengyony)', 'XSLT to convert Labeled V 2 files to various', 'Enphe Confiy Labels', 'DB Design & Reporting system Ion track)', 'False positive metric on the base of XML', 'partial Tree Comparison', 'Action Fcript Expansion and separation from', 'Ink parser', 'Expand semantic node counter metric', 'Integrate Action Script with Accuracy metrics -', 'use Reflections it needed', 'Make Accuracy metrics standalone', 'simplify CPML', 'more validation Tools for Labeled Files } toors', 'Look into automated way of fixing Labeled Files', 'triage all old dusty bugs out-triage at', 'the beginning of M8!', 'Test Architecture for Parsing', 'scheduling for M 8', 'Label the rest of the files']","[0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",,4a4918eeae78b5ead429bb95c9c7b90d14eb33a07cf0cae094a91d0d,1
"<s>But QAS .<a0><s>SWAT coming in to morrow.<a0><s>(consultant is Mark Laska)<a0><s>GP likes him)<a0><s>No aggreement w/ SWAT for Hine<a0><s>Terry R starts mend<a0><s>Thurs am calls T Cancel.<a0><s>need to get an org. Chart -Karo's will try<a1><s>Keren will get Status Rpt<a1><s>Actin will furnition to Pogue Mgmt and Deb will take over<a1><s>Thon Berg will beep in touch wan yo<a1><s>Jim will keep in ford up Janelle<a1><s>Future Opply:<a0><s>Karen workt the recess to - more design by MA team<a3><s>this will expand need for QA<a0><s>India do der :<a0><s>maganic low<a3><s>regen design<a3><s>experience op systems<a3><s>But net, light spees to to productid<a3><s>MH Team<a0><s>Matt * M having attitude problem .<a0><s>we- need to get him out<a1><s>Chuck P: Try to keep him on as TrEG King<a1><s>Quick fix, Quick turnaround<a3>","['But', 'QAS . SWAT coming in to morrow. (consultant is Mark Laska)', 'GP likes him)', 'No aggreement w/ SWAT for Hine', 'Terry R starts mend', 'Thurs am calls T Cancel.', ""need to get an org. Chart -Karo's will try"", 'Keren will get Status Rpt', 'Actin will furnition to Pogue Mgmt', 'and Deb will take over', 'Thon Berg will beep in touch wan yo', 'Jim will keep in ford up Janelle', 'Future Opply:', 'Karen workt the recess to - more design', 'by MA team this will expand need', 'for QA', 'India do der : maganic low', 'regen design', 'experience op systems', 'But net, light spees to', 'to productid', 'MH Team', 'Matt * M having attitude problem . we- need', 'to get him out', 'Chuck P: Try to keep him on as TrEG King', 'Quick fix, Quick turnaround']","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",,50dbfe18fc24c190186fba9564e48e8c555d905548888bdf0b69dc7d,1
<s>Date Set: July 2+ 32<a0>,"['Date Set:', 'July 2+ 32']","[0, 0]",,55c57254b1b34265642696ade008661266b18480dfce8caa8ccab2f1,118
<s>To Do list -<a0><s>Finish Painting house trim red/orange<a1><s>Paint house beige & start organizing garage sale<a1><s>b. Price all stuff<a1><s>c get extratables<a1><s>get more help<a1><s>Take kids swimming<a1><s>Bring husband his lunch - Wednesday<a1><s>manicure<a3><s>Do the banking<a1><s>mail bills<a1><s>Balance Checkbook<a1><s>wash car<a1><s>now lawn / waterplants/ start researching remodel project-August<a1><s>organize roll top des k<a1><s>start school shopping for kids-September<a1>,"['To Do list -', 'Finish Painting house trim red/orange', 'Paint house beige', '& start organizing garage sale', 'b. Price all stuff', 'c get extratables', 'get more help', 'Take kids swimming', 'Bring husband his lunch - Wednesday', 'manicure', 'Do the banking', 'mail bills', 'Balance Checkbook', 'wash car', 'now lawn / waterplants/', 'start researching remodel project-August', 'organize roll top des k', 'start school shopping for kids-September']","[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,55c57254b1b34265642696ade008661266b18480dfce8caa8ccab2f1,1
"<s>To Do<a0><s>Mail bills for Dad.<a1><s>Call Dad's doc. for follow-ups Fri, AM<a1><s>Find 6 of link statements.<a1><s>Fax copies to Pedi.<a1><s>Call Dad for follow-up<a1><s>mail Tar s<a1><s>Buy bread and sm. . OTs-Kars house Ride lens!<a1><s>Work To Do's<a0><s>Finish presentation TODAY!<a1><s>and submit to carol and Lymetto<a1><s>submit date and schedule conf.room.<a1><s>Make appt. w/ Chong to get new PM.<a1><s>4. Follow up w/ Carol on thiterin<a1><s>Finish accty. course.<a1><s>Finish PS course.<a1>","['To Do', 'Mail bills for Dad.', ""Call Dad's doc. for follow-ups Fri, AM"", 'Find 6 of link statements.', 'Fax copies to Pedi.', 'Call Dad for follow-up', 'mail Tar s', 'Buy bread and sm. . OTs-Kars house', 'Ride lens!', ""Work To Do's"", 'Finish presentation TODAY! and submit', 'to carol and Lymetto', 'submit date and schedule conf.room.', 'Make appt. w/ Chong to get new PM.', '4. Follow up w/ Carol on thiterin', 'Finish accty. course.', 'Finish PS course.']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",,1bd0ca6ae43722a80c270fdad39e0ccbe35bd32112bb8f40ffbc6511,1
<s>* 1143 202<a0>,"['*', '1143 202']","[0, 0]",,e52e4688b9110503f2c9461ba07787329d23756523983cc3e27c54f9,196
"<s>M7 Reen<a0><s>Create Rhino Passes, that whole team will reen in M7<a1><s>MFP arser_* (BLT, Accept, Functional, Automated, Perf, Huss)<a0><s>2) Craete & Update package for Ink Parser<a1><s>Acceptance Autometed 25 19 VDX 160 k) ] 149 Finph<a0><s>Acceptance 165 ( 25, NA 140)<a0><s>BUT 01610 116 A, 10 NA)<a0><s>Manual 202 1345 s manual? marched as not<a0><s>Automated Hotal) 1143<a0><s>3) check that all test cases are accounted for<a1><s>check that all BTs are in place (block ordering for<a1><s>Create SQL Queries for Rhino Amber ) & place them into Excel pivot tables<a1><s>send email with explanations<a1><s>Regression Test cases added into Rhino Pars through TABWORKS Tet Work Itens<a3><s>H War<a0><s>CC date-find?<a3><s>M 7 Acceptance scenarios<a3><s>SNAP problems<a3><s>Thell Checking are blocked<a0><s>Avalon his DCRS her code<a0><s>Journel rirnay<a0>","['M7 Reen', 'Create Rhino Passes, that whole team will reen in M7', 'MFP arser_* (BLT, Accept, Functional, Automated, Perf, Huss)', '2) Craete & Update package for Ink Parser', 'Acceptance Autometed 25 19 VDX 160 k) ] 149 Finph', 'Acceptance 165', '( 25, NA 140)', 'BUT 01610 116 A, 10 NA)', 'Manual 202 1345 s manual? marched as not', 'Automated Hotal) 1143', '3) check that all test cases are accounted for', 'check that all BTs are in place (block ordering for', 'Create SQL Queries for Rhino Amber )', '& place them into Excel', 'pivot tables', 'send email with explanations', 'Regression Test cases added into Rhino', 'Pars through TABWORKS Tet Work Itens', 'H War CC date-find?', 'M 7 Acceptance scenarios', 'SNAP problems', 'Thell Checking are blocked', 'Avalon his DCRS her code', 'Journel rirnay']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",,e52e4688b9110503f2c9461ba07787329d23756523983cc3e27c54f9,1
<s>Autometed M<a0>,"['Autometed', 'M']","[0, 0]",,e52e4688b9110503f2c9461ba07787329d23756523983cc3e27c54f9,190
"<s>me collab in , sometimes only<a0>","['me collab', 'in , sometimes only']","[0, 0]",,768e952499de8d6903460448549ae0967fdc212d1db40d2096e87e77,187
<s>e<a0>,['e'],[0],,768e952499de8d6903460448549ae0967fdc212d1db40d2096e87e77,183
"<s>Rui Gong interview loop<a0><s>Lead<a0><s>What's the role of TL-half IC half lead<a0><s>ensure Q of product<a4><s>own feature & know the product<a4><s>, . Contribute to team's effort-planning, tools, drive process, product unit collab<a4><s>Represent test in PU - where does prod stand<a0><s>Triage, priority, economics<a0><s>My & Grow people<a4><s>-lead by example<a4><s>healthy org-smact<a0><s>work w/IC to grow skills & encourg career growth<a4><s>How do you manage a star<a0><s>I motivation-find theirs and use that to pull most from them.<a4><s>Learn new things for . support of myr<a4><s>2 Challenge them = fullfilment<a4><s>3 Achieve good then reflect in reviews/career<a4><s>grouth=fair<a0><s>Mg under performer<a0><s>does it jepardize project?<a0><s>agree plan on to find out reason for low perf improve<a0>","['Rui Gong interview loop', 'Lead', ""What's the role of TL-half IC"", 'half lead', 'ensure Q of product', 'own feature & know the product', "", . Contribute to team's effort-planning,"", 'tools, drive process, product unit collab', 'Represent test in PU - where does prod stand', 'Triage, priority, economics', 'My & Grow people -lead by example', 'healthy org-smact', 'work w/IC to', 'grow skills & encourg', 'career growth', 'How do you manage a star', 'I motivation-find theirs and use', 'that to pull most from them.', 'Learn new things for', '. support of myr', '2 Challenge them = fullfilment', '3 Achieve good then reflect in', 'reviews/career grouth=fair', 'Mg under performer', 'does it jepardize project? agree plan on to', 'find out reason for low perf improve']","[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]",,768e952499de8d6903460448549ae0967fdc212d1db40d2096e87e77,1
"<s>Kevin's to do List.<a0><s>Turn in Apps for Financial Aid<a1><s>Collect Money for concert<a1><s>Pick up Katy all week from school.<a1><s>sell my PS2 to Don on Thursday.<a1><s>start looking for a 2 bedroom Apt.<a1><s>Finish my Psych Z0s project<a1><s>Go with the saw ""<a1><s>Let everyone know about cabin @ Mt. Baker<a1><s>start collecting money for cabin<a1><s>Find birthday gifts for Abe, Jon, Ivy, and veronica.<a1><s>Find out where to buy Tein Coilovers<a1><s>Order my SSR6T7's 18""<a1><s>Visit Ikea to Find a new bed.<a1><s>Pay Internet bill.<a1><s>Don't forget Hye's last day!<a1><s>D rop o mom off at the airport 10/26<a1><s>Preform Phil's Cd's<a1>","[""Kevin's to do List."", 'Turn in Apps for Financial Aid', 'Collect Money for concert', 'Pick up Katy all week from school.', 'sell my PS2 to Don on Thursday.', 'start looking for a 2 bedroom Apt.', 'Finish my Psych Z0s project', 'Go with the saw ""', 'Let everyone know about cabin', '@ Mt. Baker', 'start collecting money for cabin', 'Find birthday gifts for Abe, Jon,', 'Ivy, and veronica.', 'Find out where to buy Tein Coilovers', 'Order my SSR6T7\'s 18""', 'Visit Ikea to Find a new bed.', 'Pay Internet bill.', ""Don't forget Hye's last day!"", 'D rop o mom off at the airport 10/26', ""Preform Phil's Cd's""]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",,7e981988950b0be64bff5af85d5f22a6a460523f3e9d2aad6afc664f,1
<s>To Do list.<a0><s>Call mom for christmes<a1><s>clean room<a1><s>empty garbage.<a1><s>walk dog<a1><s>Rix bike<a3><s>water lawn<a1><s>Cut crass<a1><s>fix lawnmower<a1><s>rearrange room for furnatuve<a1><s>dust computer<a1><s>buy Christ was gifts<a1><s>wash car<a1><s>wax car<a1><s>study for test<a1><s>buy new computer<a1><s>write new list of christmas gifts.<a1><s>call mark<a1><s>call Devon<a1><s>call edwards.<a1>,"['To Do list.', 'Call mom for christmes', 'clean room', 'empty garbage.', 'walk dog', 'Rix bike', 'water lawn', 'Cut crass', 'fix lawnmower', 'rearrange room for furnatuve', 'dust computer', 'buy Christ was gifts', 'wash car', 'wax car', 'study for test', 'buy new computer', 'write new list of christmas gifts.', 'call mark', 'call Devon', 'call edwards.']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,c2beec041954c9dedd7ab22809d2fe78a8a1fca6345bd5448159ac6d,1
